Date,Open,High,Low,Close,Adj Close,Volume
2018-05-16,1.002150,1.013430,0.990384,0.999950,0.999950,3238190080
2018-05-17,1.000620,1.007700,0.996747,1.000190,1.000190,3026749952
2018-05-18,1.002490,1.004350,0.993732,1.001110,1.001110,3051709952
2018-05-19,1.000210,1.006950,0.994250,1.000360,1.000360,2569299968
2018-05-20,1.001470,1.004660,0.990756,0.999117,0.999117,2610939904
2018-05-21,0.999592,1.007540,0.996845,1.002970,1.002970,2406449920
2018-05-22,1.003130,1.006490,0.996062,1.002970,1.002970,2417590016
2018-05-23,1.000770,1.013920,0.996053,1.004020,1.004020,3360600064
2018-05-24,1.001350,1.012490,0.993728,0.998818,0.998818,3122710016
2018-05-25,0.999292,1.014000,0.990553,1.000440,1.000440,2375610112
2018-05-26,1.002970,1.008650,0.982905,0.999890,0.999890,1872140032
2018-05-27,1.001760,1.006850,0.991551,0.999182,0.999182,1885900032
2018-05-28,1.000570,1.010730,0.987478,1.002490,1.002490,2582710016
2018-05-29,0.999270,1.009810,0.985790,1.000680,1.000680,3003919872
2018-05-30,0.999487,1.009820,0.995158,0.999727,0.999727,2429060096
2018-05-31,1.002000,1.007480,0.994691,0.998003,0.998003,2613339904
2018-06-01,0.999088,1.008650,0.994694,1.000990,1.000990,2486080000
2018-06-02,1.000180,1.005640,0.986231,0.993530,0.993530,3187569920
2018-06-03,0.992030,1.003760,0.986847,1.000100,1.000100,2796300032
2018-06-04,0.997714,1.006800,0.995257,1.000520,1.000520,2798279936
2018-06-05,0.999263,1.011460,0.990879,1.001020,1.001020,2796069888
2018-06-06,0.997917,1.012610,0.990877,1.000690,1.000690,2508359936
2018-06-07,0.999463,1.005730,0.996242,0.998750,0.998750,2554540032
2018-06-08,0.999940,1.008390,0.994330,1.001790,1.001790,2219579904
2018-06-09,1.002060,1.012210,0.999194,1.006080,1.006080,2006880000
2018-06-10,1.009370,1.015320,0.989031,0.998215,0.998215,3845029888
2018-06-11,1.005300,1.010290,0.991656,1.001930,1.001930,2913220096
2018-06-12,1.004040,1.019090,0.998669,1.000770,1.000770,2702340096
2018-06-13,1.004750,1.025770,0.994316,1.003530,1.003530,3056750080
2018-06-14,1.001950,1.011960,0.993035,1.003950,1.003950,3104209920
2018-06-15,1.001630,1.013160,0.995103,1.006950,1.006950,2376110080
2018-06-16,1.003870,1.012480,0.987984,1.004240,1.004240,1797939968
2018-06-17,1.004870,1.007130,0.998453,1.005480,1.005480,1548390016
2018-06-18,1.003390,1.011180,0.991164,1.002830,1.002830,2073910016
2018-06-19,1.003630,1.006340,0.994846,1.000220,1.000220,2253370112
2018-06-20,1.001710,1.010210,0.994434,0.998829,0.998829,2215259904
2018-06-21,1.000540,1.005980,0.994075,1.000530,1.000530,2017639936
2018-06-22,1.001240,1.026370,0.990974,1.003000,1.003000,3747810048
2018-06-23,1.001370,1.012700,0.990621,1.001980,1.001980,2500859904
2018-06-24,0.998875,1.022490,0.971736,1.005100,1.005100,3952620032
2018-06-25,1.004870,1.008910,0.984719,1.000620,1.000620,3956019968
2018-06-26,0.998834,1.009640,0.990512,1.000560,1.000560,2025110016
2018-06-27,1.002390,1.006210,0.981484,0.997935,0.997935,2055360000
2018-06-28,0.998823,1.004400,0.989789,0.997193,0.997193,2331049984
2018-06-29,0.996047,1.011700,0.990261,1.003330,1.003330,2482319872
2018-06-30,1.003010,1.010140,0.992682,0.999192,0.999192,2540620032
2018-07-01,0.997323,1.006050,0.997016,0.998821,0.998821,3653040128
2018-07-02,0.999402,1.002740,0.993193,0.998859,0.998859,2787729920
2018-07-03,0.997445,1.003680,0.995343,1.000320,1.000320,2786769920
2018-07-04,0.998857,1.003740,0.993437,0.999195,0.999195,2638139904
2018-07-05,1.001170,1.011130,0.999482,1.006140,1.006140,3606159872
2018-07-06,1.007010,1.011240,0.998692,1.003160,1.003160,2460250112
2018-07-07,1.001700,1.007880,0.989028,1.006210,1.006210,2134790016
2018-07-08,1.004610,1.009510,1.001270,1.004250,1.004250,2142080000
2018-07-09,1.004600,1.014180,1.001420,1.007500,1.007500,2358560000
2018-07-10,1.007310,1.011600,0.997819,1.001200,1.001200,2974149888
2018-07-11,1.000910,1.010790,0.998898,1.001160,1.001160,2524790016
2018-07-12,1.002280,1.007610,0.994467,0.999070,0.999070,2404160000
2018-07-13,0.999377,1.010030,0.995791,1.001420,1.001420,2279970048
2018-07-14,1.002250,1.006800,0.998031,1.002650,1.002650,1620770048
2018-07-15,1.002380,1.004410,0.996664,0.998352,0.998352,1919559936
2018-07-16,0.998966,1.002180,0.988297,0.999139,0.999139,2864659968
2018-07-17,1.002310,1.005840,0.979782,1.000130,1.000130,3620499968
2018-07-18,0.999476,1.005320,0.993404,1.002210,1.002210,4082030080
2018-07-19,1.000810,1.004170,0.993331,0.998088,0.998088,3188349952
2018-07-20,0.998921,1.007170,0.994279,1.001030,1.001030,3072349952
2018-07-21,1.001300,1.004220,0.995731,1.000040,1.000040,2164900096
2018-07-22,1.001220,1.010620,0.994756,0.999843,0.999843,2209939968
2018-07-23,1.000830,1.000830,0.991952,0.997496,0.997496,2808819968
2018-07-24,0.997918,1.000730,0.993390,0.996505,0.996505,4417310208
2018-07-25,0.992372,1.002070,0.985008,0.998791,0.998791,3514560000
2018-07-26,0.996740,1.003750,0.992867,0.997951,0.997951,2894500096
2018-07-27,0.999553,1.004390,0.991179,0.997118,0.997118,3092310016
2018-07-28,0.995606,1.002690,0.995606,0.997887,0.997887,2298899968
2018-07-29,0.996403,1.001610,0.995105,0.998919,0.998919,2404489984
2018-07-30,0.999317,1.007150,0.993987,0.998910,0.998910,4311410000
2018-07-31,0.999708,1.007550,0.995340,0.999507,0.999507,3253100000
2018-08-01,0.999215,1.004450,0.994754,0.999409,0.999409,3059190000
2018-08-02,0.998746,1.002770,0.995199,1.000660,1.000660,2539460000
2018-08-03,1.001380,1.004090,0.995755,0.999095,0.999095,2843800000
2018-08-04,1.000190,1.004560,0.993336,0.998505,0.998505,2526060000
2018-08-05,0.997972,1.002610,0.996254,0.999347,0.999347,2204100000
2018-08-06,1.001840,1.003200,0.998169,1.000950,1.000950,2336390000
2018-08-07,0.999416,1.026230,0.995265,1.001540,1.001540,2942000000
2018-08-08,1.001640,1.017030,0.991345,1.001690,1.001690,3421800000
2018-08-09,1.000740,1.006800,0.979456,1.004240,1.004240,2626630000
2018-08-10,1.001340,1.014620,0.991889,1.001580,1.001580,2887490000
2018-08-11,1.000340,1.009850,0.978541,1.009850,1.009850,2630390000
2018-08-12,1.005870,1.007280,0.994930,1.000490,1.000490,4066320000
2018-08-13,1.000920,1.020540,0.994659,1.003930,1.003930,2596380000
2018-08-14,1.004330,1.017920,0.991974,0.997543,0.997543,3917750000
2018-08-15,0.995030,1.008410,0.993253,1.001250,1.001250,3277720000
2018-08-16,1.000540,1.010580,0.993986,1.001220,1.001220,2741290000
2018-08-17,1.003900,1.012000,0.994058,0.997761,0.997761,3783430000
2018-08-18,1.002420,1.014000,0.996478,1.002860,1.002860,3247510000
2018-08-19,1.005370,1.008220,0.996864,1.000520,1.000520,2622560000
2018-08-20,1.000190,1.017390,0.997007,1.005390,1.005390,2596870000
2018-08-21,1.008140,1.008270,0.995364,1.000700,1.000700,2350790000
2018-08-22,1.000490,1.011780,0.981115,1.000350,1.000350,3325510000
2018-08-23,1.001350,1.004250,0.993635,0.998976,0.998976,2392970000
2018-08-24,0.998429,1.008960,0.994293,1.001780,1.001780,2850500000
2018-08-25,0.998537,1.003820,0.995268,1.001000,1.001000,1958700000
2018-08-26,1.003210,1.007950,0.997750,0.999227,0.999227,1946530000
2018-08-27,1.001640,1.006410,0.983211,0.997802,0.997802,2718980000
2018-08-28,0.997670,1.003490,0.991961,0.999395,0.999395,2991530000
2018-08-29,1.000190,1.015030,0.991106,1.000660,1.000660,3024040000
2018-08-30,0.999735,1.005120,0.992116,1.000030,1.000030,2764870000
