Date,Open,High,Low,Close,Adj Close,Volume
2018-05-16,0.068191,0.072183,0.064071,0.071954,0.071954,492396000
2018-05-17,0.071912,0.073442,0.066256,0.067437,0.067437,304225984
2018-05-18,0.067023,0.069530,0.064977,0.069387,0.069387,263304992
2018-05-19,0.069481,0.070564,0.067618,0.069144,0.069144,206880992
2018-05-20,0.069269,0.078197,0.068474,0.077269,0.077269,470467008
2018-05-21,0.077700,0.084728,0.077381,0.082378,0.082378,802233024
2018-05-22,0.082253,0.083211,0.074271,0.074829,0.074829,498436000
2018-05-23,0.075072,0.076696,0.067811,0.069848,0.069848,608060032
2018-05-24,0.070087,0.074387,0.068700,0.073095,0.073095,587902016
2018-05-25,0.073201,0.073279,0.069467,0.071279,0.071279,301519008
2018-05-26,0.071067,0.076325,0.070482,0.073162,0.073162,334004992
2018-05-27,0.072981,0.073451,0.069380,0.070601,0.070601,311443008
2018-05-28,0.070651,0.070750,0.060207,0.060654,0.060654,493598016
2018-05-29,0.061097,0.065944,0.057386,0.065009,0.065009,569742976
2018-05-30,0.065110,0.068083,0.060278,0.062402,0.062402,463945984
2018-05-31,0.062436,0.064002,0.059449,0.060541,0.060541,371256992
2018-06-01,0.060612,0.061605,0.056415,0.058707,0.058707,268287008
2018-06-02,0.058817,0.063237,0.057739,0.061184,0.061184,297120992
2018-06-03,0.061157,0.063396,0.060775,0.061978,0.061978,250455008
2018-06-04,0.062018,0.062488,0.058259,0.059179,0.059179,216791008
2018-06-05,0.059220,0.060823,0.057337,0.060577,0.060577,220480992
2018-06-06,0.060621,0.060650,0.058435,0.059408,0.059408,188314000
2018-06-07,0.059433,0.060349,0.058391,0.058819,0.058819,164796000
2018-06-08,0.058680,0.058791,0.056793,0.057577,0.057577,176148000
2018-06-09,0.057720,0.059221,0.057157,0.057157,0.057157,171568992
2018-06-10,0.057138,0.057138,0.045858,0.048003,0.048003,330216000
2018-06-11,0.047860,0.049116,0.045696,0.048829,0.048829,254203008
2018-06-12,0.048772,0.048813,0.042842,0.043982,0.043982,199435008
2018-06-13,0.044008,0.044408,0.038950,0.041533,0.041533,242384000
2018-06-14,0.041460,0.045732,0.040566,0.045417,0.045417,283351008
2018-06-15,0.045617,0.046074,0.042534,0.042870,0.042870,210247008
2018-06-16,0.042799,0.043685,0.041809,0.043215,0.043215,137208000
2018-06-17,0.043163,0.043605,0.042558,0.042648,0.042648,114357000
2018-06-18,0.042569,0.045678,0.041498,0.045096,0.045096,173063008
2018-06-19,0.045178,0.051107,0.044808,0.049503,0.049503,360852000
2018-06-20,0.049581,0.049645,0.045133,0.049394,0.049394,400321984
2018-06-21,0.049206,0.050181,0.047480,0.048620,0.048620,214723008
2018-06-22,0.048611,0.048933,0.042247,0.043136,0.043136,242306000
2018-06-23,0.043278,0.044721,0.042531,0.044179,0.044179,151474000
2018-06-24,0.044196,0.044338,0.038552,0.042460,0.042460,235740000
2018-06-25,0.042391,0.043504,0.041215,0.042349,0.042349,146474000
2018-06-26,0.042402,0.042449,0.038262,0.038262,0.038262,93775000
2018-06-27,0.038187,0.039690,0.037685,0.038987,0.038987,99853600
2018-06-28,0.039087,0.039706,0.036344,0.036665,0.036665,104241000
2018-06-29,0.036566,0.037621,0.034706,0.037237,0.037237,149928992
2018-06-30,0.037279,0.040002,0.037172,0.038423,0.038423,182466000
2018-07-01,0.038439,0.038719,0.036936,0.037885,0.037885,112292000
2018-07-02,0.037643,0.040467,0.037049,0.039529,0.039529,174376992
2018-07-03,0.039529,0.040739,0.038495,0.038867,0.038867,182019008
2018-07-04,0.038852,0.040240,0.037468,0.038895,0.038895,132730000
2018-07-05,0.039199,0.039767,0.037406,0.037861,0.037861,118836000
2018-07-06,0.037843,0.037926,0.035300,0.036975,0.036975,119639000
2018-07-07,0.036927,0.038334,0.036107,0.038334,0.038334,96368304
2018-07-08,0.038310,0.038588,0.037046,0.037100,0.037100,104921000
2018-07-09,0.037103,0.037164,0.035782,0.035798,0.035798,144390000
2018-07-10,0.035826,0.036056,0.032816,0.033588,0.033588,132760000
2018-07-11,0.033524,0.034532,0.032878,0.033578,0.033578,173036992
2018-07-12,0.033570,0.033570,0.031399,0.032228,0.032228,162156992
2018-07-13,0.032278,0.034455,0.032278,0.033340,0.033340,179488000
2018-07-14,0.033293,0.033829,0.032666,0.033429,0.033429,170704000
2018-07-15,0.033421,0.034954,0.033167,0.034364,0.034364,180511008
2018-07-16,0.034404,0.037521,0.034178,0.037521,0.037521,211212000
2018-07-17,0.037455,0.040547,0.036155,0.039759,0.039759,228396992
2018-07-18,0.039645,0.043077,0.039130,0.039661,0.039661,284600992
2018-07-19,0.039456,0.039457,0.037503,0.037917,0.037917,259096992
2018-07-20,0.037903,0.037903,0.034592,0.034906,0.034906,225139008
2018-07-21,0.034935,0.036313,0.033992,0.035603,0.035603,210056992
2018-07-22,0.035544,0.036340,0.035062,0.035123,0.035123,189920992
2018-07-23,0.035094,0.036111,0.034042,0.034061,0.034061,194284000
2018-07-24,0.034080,0.038875,0.032905,0.038107,0.038107,323728992
2018-07-25,0.037799,0.038779,0.036290,0.037122,0.037122,221752992
2018-07-26,0.037094,0.038510,0.035448,0.035996,0.035996,190784992
2018-07-27,0.035937,0.037045,0.035212,0.036504,0.036504,218420992
2018-07-28,0.036506,0.036868,0.035906,0.036782,0.036782,183664000
2018-07-29,0.036788,0.040549,0.036739,0.039236,0.039236,310647008
2018-07-30,0.039096,0.039423,0.035387,0.036452,0.036452,254606000
2018-07-31,0.036498,0.036498,0.033552,0.033926,0.033926,211254000
2018-08-01,0.033967,0.034035,0.031829,0.032643,0.032643,140270000
2018-08-02,0.032677,0.033324,0.030994,0.031539,0.031539,148160000
2018-08-03,0.031528,0.031659,0.029532,0.030602,0.030602,154910000
