High,Low,Open,Close,Volume,Adj Close,O-C,Trend,0.5(O+C),0.5(H+L),AvOC-HL
5.09499979019165,5.019999980926514,5.045000076293945,5.047999858856201,14203.0,5.047999858856201,-0.0029997825622558594,0,5.046499967575073,5.057499885559082,7.575249910354614
5.090000152587891,5.034999847412109,5.065000057220459,5.047999858856201,2830.0,5.047999858856201,0.017000198364257812,1,5.05649995803833,5.0625,7.58774995803833
5.130000114440918,5.050000190734863,5.070000171661377,5.072999954223633,511.0,5.072999954223633,-0.0029997825622558594,0,5.071500062942505,5.090000152587891,7.61650013923645
5.105000019073486,5.0,5.105000019073486,5.007999897003174,645.0,5.007999897003174,0.0970001220703125,1,5.05649995803833,5.052500009536743,7.582749962806702
5.110000133514404,5.0,5.019999980926514,5.098999977111816,307.0,5.098999977111816,-0.07899999618530273,0,5.059499979019165,5.055000066757202,7.587000012397766
5.090000152587891,5.050000190734863,5.090000152587891,5.052999973297119,140.0,5.052999973297119,0.037000179290771484,1,5.071500062942505,5.070000171661377,7.606500148773193
5.09499979019165,5.068999767303467,5.090000152587891,5.068999767303467,266.0,5.068999767303467,0.021000385284423828,1,5.079499959945679,5.081999778747559,7.620499849319458
5.090000152587891,5.050000190734863,5.079999923706055,5.077000141143799,244.0,5.077000141143799,0.0029997825622558594,1,5.078500032424927,5.070000171661377,7.613500118255615
5.114999771118164,5.054999828338623,5.054999828338623,5.0970001220703125,189.0,5.0970001220703125,-0.04200029373168945,0,5.075999975204468,5.0849997997283936,7.6184998750686646
5.139999866485596,5.059999942779541,5.139999866485596,5.064000129699707,55.0,5.064000129699707,0.07599973678588867,1,5.101999998092651,5.099999904632568,7.6519999504089355
5.09499979019165,5.064000129699707,5.09499979019165,5.064000129699707,13.0,5.064000129699707,0.03099966049194336,1,5.079499959945679,5.079499959945679,7.619249939918518
5.119999885559082,5.0920000076293945,5.105000019073486,5.0920000076293945,72.0,5.0920000076293945,0.013000011444091797,1,5.09850001335144,5.105999946594238,7.65149998664856
5.144999980926514,5.110000133514404,5.119999885559082,5.126999855041504,37.0,5.126999855041504,-0.006999969482421875,0,5.123499870300293,5.127500057220459,7.6872498989105225
5.110000133514404,5.074999809265137,5.099999904632568,5.086999893188477,16.0,5.086999893188477,0.013000011444091797,1,5.0934998989105225,5.0924999713897705,7.639749884605408
5.119999885559082,5.079999923706055,5.079999923706055,5.0920000076293945,141.0,5.0920000076293945,-0.012000083923339844,0,5.085999965667725,5.099999904632568,7.635999917984009
5.074999809265137,5.03000020980835,5.074999809265137,5.03000020980835,30.0,5.03000020980835,0.04499959945678711,1,5.052500009536743,5.052500009536743,7.578750014305115
5.179999828338623,5.045000076293945,5.045000076293945,5.120999813079834,54.0,5.120999813079834,-0.07599973678588867,0,5.08299994468689,5.112499952316284,7.639249920845032
5.150000095367432,5.110000133514404,5.110000133514404,5.130000114440918,72.0,5.130000114440918,-0.019999980926513672,0,5.120000123977661,5.130000114440918,7.68500018119812
5.110000133514404,5.079999923706055,5.079999923706055,5.090000152587891,28.0,5.090000152587891,-0.010000228881835938,0,5.085000038146973,5.0950000286102295,7.632500052452087
5.135000228881836,5.110000133514404,5.110000133514404,5.11899995803833,80.0,5.11899995803833,-0.008999824523925781,0,5.114500045776367,5.12250018119812,7.675750136375427
5.114999771118164,5.0929999351501465,5.114999771118164,5.0929999351501465,30.0,5.0929999351501465,0.021999835968017578,1,5.103999853134155,5.103999853134155,7.655999779701233
5.110000133514404,5.076000213623047,5.099999904632568,5.076000213623047,12.0,5.076000213623047,0.023999691009521484,1,5.088000059127808,5.093000173568726,7.63450014591217
5.0,4.955999851226807,4.955999851226807,4.955999851226807,0.0,4.955999851226807,0.0,1,4.955999851226807,4.977999925613403,7.444999814033508
4.9629998207092285,4.9629998207092285,4.9629998207092285,4.9629998207092285,0.0,4.9629998207092285,0.0,1,4.9629998207092285,4.9629998207092285,7.444499731063843
5.019999980926514,5.019999980926514,5.019999980926514,5.019999980926514,0.0,5.019999980926514,0.0,1,5.019999980926514,5.019999980926514,7.5299999713897705
5.0320000648498535,5.0320000648498535,5.0320000648498535,5.0320000648498535,0.0,5.0320000648498535,0.0,1,5.0320000648498535,5.0320000648498535,7.54800009727478
5.139999866485596,5.050000190734863,5.050000190734863,5.139999866485596,3.0,5.139999866485596,-0.08999967575073242,0,5.0950000286102295,5.0950000286102295,7.642500042915344
